obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/1_win,rollout/2_draw,rollout/3_loss,rollout/4_count,rollout/5_successRate,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,rollout/return_history_std,rollout/return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.24915844202041626,0.16328798234462738,0.026270585008002556,-403.50677490234375,117.54673767089844,-0.12108330428600311,0.6840210556983948,-402.85931396484375,117.22634887695312,-0.1944853663444519,0.6055645942687988,82.0,0.0,284.0,366.0,22.404371584699454,-331.1582946777344,-0.08620491623878479,0.7125192880630493,135.8319099378882,2576.0,-1356.892822265625,-1400.1300048828125,528.3955688476562,568.4463500976562,2842.0296111106873,2576.0,7,350000,123.15142623134643,394.0747375488281,877.7994384765625,0.2469448298215866
0.25062817335128784,0.16380256414413452,0.02426044449968572,-421.3370361328125,122.92096710205078,0.14543548226356506,0.7056889533996582,-419.2315673828125,123.03074645996094,0.19782544672489166,0.685299277305603,89.0,0.0,281.0,370.0,24.054054054054056,-336.7503967285156,-0.06532356888055801,0.7211388945579529,135.74236252545825,2946.0,-1355.951416015625,-1277.68994140625,579.743408203125,566.7586669921875,3252.6501631736755,2946.0,8,400000,122.97664363932456,404.11883544921875,651.4808349609375,0.2702561020851135
0.2517233192920685,0.16424249112606049,0.022854436146078055,-423.3822021484375,116.09358978271484,0.20586863160133362,0.7276169061660767,-420.6742858886719,115.36646270751953,0.30738943815231323,0.7051070928573608,94.0,0.0,278.0,372.0,25.268817204301076,-340.3820495605469,-0.03843890503048897,0.7332565188407898,135.58619650391802,3318.0,-1354.3321533203125,-1283.8499755859375,548.2086181640625,566.1305541992188,3660.865256547928,3318.0,9,450000,122.92175987496869,394.5655517578125,748.883544921875,0.18165472149848938
0.25290724635124207,0.16434913873672485,0.02240411346542305,-420.6115417480469,108.31173706054688,0.1051398292183876,0.7533386945724487,-416.7221984863281,107.49065399169922,0.1389976292848587,0.7488558888435364,129.0,0.0,259.0,388.0,33.24742268041237,-343.7610168457031,-0.01437879353761673,0.7466399669647217,134.9155423637345,3706.0,-1347.502197265625,-1395.8699951171875,497.3655700683594,566.9511108398438,4074.1233475208282,3706.0,10,500000,122.72578843354322,387.44354248046875,951.0418701171875,0.34416845440864563
0.2547262907028198,0.1642640233039856,0.02426044449968572,-426.44854736328125,112.11128997802734,0.23158465325832367,0.71409010887146,-424.68243408203125,111.73374938964844,0.10927338898181915,0.7394857406616211,84.0,0.0,273.0,357.0,23.52941176470588,-348.5980529785156,-0.006497582420706749,0.7505802512168884,135.33546640413488,4063.0,-1351.692138671875,-1356.760009765625,538.5025024414062,563.4712524414062,4485.609789133072,4063.0,11,550000,122.61432131979937,396.6562805175781,1101.52783203125,0.1624501496553421
0.2554962933063507,0.1642460823059082,0.024748079434129402,-430.3713684082031,108.72735595703125,0.017005419358611107,0.7546563148498535,-428.16461181640625,107.72526550292969,0.35023361444473267,0.6944571137428284,70.0,0.0,282.0,352.0,19.886363636363637,-353.5716247558594,0.00399864511564374,0.7534969449043274,135.89626274065685,4415.0,-1357.325927734375,-1361.949951171875,523.2928466796875,559.313232421875,4880.959742069244,4415.0,12,600000,122.92664387877838,403.0566711425781,843.7687377929688,0.22501905262470245
0.25602033734321594,0.16440199315547943,0.026270585008002556,-445.134521484375,113.57263946533203,-0.09224694967269897,0.7825058102607727,-443.34912109375,113.18628692626953,-0.18133819103240967,0.8143700361251831,87.0,0.0,287.0,374.0,23.262032085561497,-357.9143981933594,0.01519834902137518,0.7594335675239563,135.72624765086658,4789.0,-1355.6141357421875,-1190.469970703125,662.7568359375,559.8908081054688,5277.699434995651,4789.0,13,650000,123.15972290690624,408.5780944824219,976.2388305664062,0.23708727955818176
0.2566971480846405,0.16451600193977356,0.025245515830755405,-450.5171203613281,110.9826889038086,0.11560045927762985,0.8400036096572876,-449.03094482421875,110.67129516601562,0.4110634922981262,0.7586900591850281,105.0,0.0,281.0,386.0,27.202072538860104,-361.2063293457031,0.027125351130962372,0.7653499245643616,135.26222222222222,5175.0,-1350.944580078125,-1241.0899658203125,592.11962890625,562.1602783203125,5692.6643171310425,5175.0,14,700000,122.9652691611337,404.4061279296875,1542.2371826171875,0.2145121842622757
0.25725626945495605,0.16457323729991913,0.02152991267583435,-449.3824157714844,111.19115447998047,0.03789706528186798,0.884902834892273,-445.00738525390625,110.3038330078125,0.09440367668867111,0.8891719579696655,144.0,0.0,256.0,400.0,36.0,-363.3795471191406,0.029157932847738266,0.7726789712905884,134.52914798206277,5575.0,-1343.519775390625,-1357.06005859375,491.790771484375,564.1041870117188,6108.958083629608,5575.0,15,750000,122.77052645193321,401.1194152832031,1098.4945068359375,0.15453486144542694
0.26014479994773865,0.16537915170192719,0.019882513137642284,-456.7086486816406,117.71055603027344,0.13525506854057312,0.9251161813735962,-453.28424072265625,117.13450622558594,0.04824100062251091,0.9356434345245361,86.0,0.0,286.0,372.0,23.118279569892472,-364.7702331542969,0.04172293096780777,0.7780361771583557,134.49823440390114,5947.0,-1343.2130126953125,-1394.550048828125,533.9012451171875,564.734619140625,6524.88344502449,5947.0,16,800000,122.60755410275337,405.21148681640625,750.6882934570312,0.12290280312299728
0.26228776574134827,0.16583652794361115,0.021962663920618616,-457.069580078125,111.33968353271484,0.018035992980003357,0.9508767127990723,-454.38262939453125,110.05774688720703,0.027102338150143623,0.9566371440887451,110.0,0.0,273.0,383.0,28.720626631853786,-365.8402404785156,0.028182383626699448,0.7878755331039429,134.2650868878357,6330.0,-1340.8519287109375,-1242.0999755859375,600.7086791992188,566.018798828125,6942.263101816177,6330.0,17,850000,122.43845955328746,407.6988525390625,1039.610595703125,0.2649703621864319
