% time spent exploring,Local Reached Total Count,episodes,mean 100 episode reward,steps,% time spent exploring in plan,Goal Reached Total Count,plan episodes,plan mean 100 episode reward,plan steps
93,1201,12400,-3.0,65754,,,,,
93,1208,12500,-3.5,66362,,,,,
,,,,,93,35,349,-94.9,66693
93,1215,12600,-3.3,66890,,,,,
93,1228,12700,-2.8,67443,,,,,
93,1234,12800,-2.8,67947,,,,,
93,1240,12900,-3.4,68525,,,,,
,,,,,93,35,359,-94.0,68693
93,1248,13000,-3.4,69109,,,,,
93,1255,13100,-3.3,69639,,,,,
93,1264,13200,-3.7,70234,,,,,
,,,,,93,36,369,-93.5,70548
92,1274,13300,-3.0,70763,,,,,
92,1284,13400,-2.9,71309,,,,,
92,1293,13500,-3.4,71840,,,,,
,,,,,92,37,379,-93.1,72404
92,1297,13600,-3.3,72412,,,,,
92,1311,13700,-3.3,73002,,,,,
92,1326,13800,-2.4,73453,,,,,
92,1337,13900,-3.0,74001,,,,,
,,,,,92,37,389,-93.9,74404
92,1348,14000,-3.1,74520,,,,,
92,1362,14100,-3.6,75107,,,,,
92,1369,14200,-3.4,75700,,,,,
92,1376,14300,-3.4,76302,,,,,
,,,,,92,37,399,-94.1,76404
92,1386,14400,-3.2,76804,,,,,
92,1402,14500,-2.5,77236,,,,,
92,1409,14600,-3.4,77836,,,,,
,,,,,92,39,409,-93.0,78157
92,1420,14700,-3.6,78441,,,,,
92,1429,14800,-3.4,79027,,,,,
92,1443,14900,-2.9,79533,,,,,
,,,,,92,41,419,-93.9,80041
92,1454,15000,-2.8,80051,,,,,
92,1463,15100,-3.2,80594,,,,,
91,1474,15200,-3.3,81128,,,,,
91,1491,15300,-2.6,81647,,,,,
,,,,,91,43,429,-92.9,81842
91,1503,15400,-3.1,82214,,,,,
91,1511,15500,-3.3,82795,,,,,
91,1528,15600,-2.9,83333,,,,,
,,,,,91,44,439,-93.1,83795
91,1534,15700,-3.6,83913,,,,,
91,1542,15800,-3.6,84500,,,,,
91,1549,15900,-3.3,85047,,,,,
91,1559,16000,-3.3,85632,,,,,
,,,,,91,45,449,-93.5,85683
91,1568,16100,-2.7,86136,,,,,
91,1578,16200,-2.8,86627,,,,,
91,1591,16300,-3.6,87201,,,,,
,,,,,91,45,459,-93.9,87683
91,1599,16400,-3.2,87748,,,,,
91,1614,16500,-3.0,88302,,,,,
91,1626,16600,-3.2,88900,,,,,
